"WEBADDR","UNITID","INSTNM","ADDR","CITY","STABBR","ZIP","FIPS","addr_recoded","latitude","longitude"
"pba.edu",136330,"Palm Beach Atlantic University","901 S. Flagler Drive","West Palm Beach","FL","33401",12,"901 S. Flagler Drive, West Palm Beach, FL",26.7033649,-80.0537298
"park.edu",178721,"Park University","8700 NW River Park Dr","Parkville","MO","64152-3795",29,"8700 NW River Park Dr, Parkville, MO",39.190003,-94.680514
"newschool.edu",193654,"The New School",NA,"New York","NY","10011",36,"NA, New York, NY",40.6432866,-73.7949275
"phc.edu",451927,"Patrick Henry College","10 Patrick Henry Circle","Purcellville","VA","20132",51,"10 Patrick Henry Circle, Purcellville, VA",39.13864775,-77.6908577610169
"pqc.edu",227429,"Paul Quinn College","3837 Simpson Stuart Rd","Dallas","TX","75241",48,"3837 Simpson Stuart Rd, Dallas, TX",32.67523505,-96.7587022113071
"paulsmiths.edu",194392,"Paul Smiths College of Arts and Science","7777 State Route 30","Paul Smiths","NY","12970-0265",36,"7777 State Route 30, Paul Smiths, NY",NA,NA
"peirce.edu",214883,"Peirce College","1608 Walnut St., Suite 1900","Philadelphia","PA","19103-5443",42,"1608 Walnut St., Suite 1900, Philadelphia, PA",NA,NA
"psu.edu",214777,"Pennsylvania State University-Main Campus","201 Old Main","University Park","PA","16802-1503",42,"201 Old Main, University Park, PA",NA,NA
"psu.edu",495767,"The Pennsylvania State University","201 Old Main","University Park","PA","16802-1503",42,"201 Old Main, University Park, PA",NA,NA
"pafa.edu",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"pct.edu",366252,"Pennsylvania College of Technology","One College Ave","Williamsport","PA","17701-5799",42,"One College Ave, Williamsport, PA",NA,NA
"pepperdine.edu",121150,"Pepperdine University","24255 Pacific Coast Hwy","Malibu","CA","90263",6,"24255 Pacific Coast Hwy, Malibu, CA",34.0344330598031,-118.709061247838
"peru.edu",181534,"Peru State College","600 Hoyt Street","Peru","NE","68421-0010",31,"600 Hoyt Street, Peru, NE",40.4752249,-95.7318951999887
"pfeiffer.edu",199306,"Pfeiffer University","48380 US Hwy 52N","Misenheimer","NC","28109-0960",37,"48380 US Hwy 52N, Misenheimer, NC",NA,NA
"philander.edu",107600,"Philander Smith College","900 W. Daisy Bates Drive","Little Rock","AR","72202-3799",5,"900 W. Daisy Bates Drive, Little Rock, AR",34.736825,-92.283114
"piedmont.edu",140818,"Piedmont University","1021 Central Ave","Demorest","GA","30535-0010",13,"1021 Central Ave, Demorest, GA",34.5660291,-83.5427252
"piedmontu.edu",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"pmc.edu",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"pittstate.edu",155681,"Pittsburg State University","1701 S Broadway","Pittsburg","KS","66762",20,"1701 S Broadway, Pittsburg, KS",37.39042995,-94.6953938797447
"pitzer.edu",121257,"Pitzer College","1050 North Mills Avenue","Claremont","CA","91711-6101",6,"1050 North Mills Avenue, Claremont, CA",34.1040931020408,-117.707014081633
"plymouth.edu",183080,"Plymouth State University","17 High Street","Plymouth","NH","03264-1595",33,"17 High Street, Plymouth, NH",43.76090475,-71.680871420539
"pointloma.edu",121309,"Point Loma Nazarene University","3900 Lomaland Dr","San Diego","CA","92106-2899",6,"3900 Lomaland Dr, San Diego, CA",32.717622,-117.251928
"pointpark.edu",215442,"Point Park University","201 Wood St","Pittsburgh","PA","15222-1984",42,"201 Wood St, Pittsburgh, PA",40.4385743,-80.0020058
"point.edu",138868,"Point University","507 West 10th Street","West Point","GA","31833",13,"507 West 10th Street, West Point, GA",32.8794812857143,-85.1843608367347
"polk.edu",136516,"Polk State College","999 Avenue H NE","Winter Haven","FL","33881-4299",12,"999 Avenue H NE, Winter Haven, FL",28.030284,-81.712742
"pupr.edu",243577,"Universidad Politecnica de Puerto Rico","377 Ponce de Leon Ave","Hato Rey","PR","00919",72,"377 Ponce de Leon Ave, Hato Rey, PR",18.422431,-66.0558915319978
"pupr.edu",456481,"Polytechnic University of Puerto Rico-Miami","8180 N.W. 36 St., Suite 401","Miami","FL","33166",12,"8180 N.W. 36 St., Suite 401, Miami, FL",25.801879,-80.1949007
"pupr.edu",456490,"Polytechnic University of Puerto Rico-Orlando","550 N Econlockhatchee Tr","Orlando","FL","32825",12,"550 N Econlockhatchee Tr, Orlando, FL",NA,NA
"pomona.edu",121345,"Pomona College","550 N College Ave","Claremont","CA","91711-6319",6,"550 N College Ave, Claremont, CA",34.0991532635151,-117.714818513645
"pucpr.edu",241395,"Pontifical Catholic University of Puerto Rico-Arecibo","Carretera 662 KM 2.3","Arecibo","PR","00614-4045",72,"Carretera 662 KM 2.3, Arecibo, PR",NA,NA
"pucpr.edu",241410,"Pontifical Catholic University of Puerto Rico-Ponce","2250 Boulevard Luis A. Ferre Aguayo Suite 608","Ponce","PR","00717-9997",72,"2250 Boulevard Luis A. Ferre Aguayo Suite 608, Ponce, PR",NA,NA
"pcj.edu",205027,"Pontifical College Josephinum","7625 N High Street","Columbus","OH","43235-1499",39,"7625 N High Street, Columbus, OH",40.12093255,-83.0200494175959
"pdx.edu",209807,"Portland State University","724 SW Harrison","Portland","OR","97201",41,"724 SW Harrison, Portland, OR",45.5107938,-122.682323
"potomac.edu",384412,"University of the Potomac-Washington DC Campus","1401 H Street NW","Washington","DC","20005",11,"1401 H Street NW, Washington, DC",38.9005175,-77.0322149
"potomac.edu",442639,"University of the Potomac-VA Campus","7799 LEESBURG PIKE","FALLS CHURCH","VA","22043-2536",51,"7799 LEESBURG PIKE, FALLS CHURCH, VA",38.8719449,-77.155538
"pvamu.edu",227526,"Prairie View A & M University","FM 1098 Road & University Drive","Prairie View","TX","77446",48,"FM 1098 Road & University Drive, Prairie View, TX",NA,NA
"pratt.edu",194578,"Pratt Institute-Main","200 Willoughby Ave","Brooklyn","NY","11205",36,"200 Willoughby Ave, Brooklyn, NY",40.69133825,-73.9630163297801
"presby.edu",218539,"Presbyterian College","503 South Broad Street","Clinton","SC","29325",45,"503 South Broad Street, Clinton, SC",34.46469875,-81.8705275251001
"prescott.edu",105589,"Prescott College","220 Grove Ave","Prescott","AZ","86301",4,"220 Grove Ave, Prescott, AZ",34.5444877611234,-112.476370288487
"presentation.edu",219295,"Presentation College","1500 N Main","Aberdeen","SD","57401-1280",46,"1500 N Main, Aberdeen, SD",NA,NA
"princeton.edu",186131,"Princeton University","1 Nassau Hall","Princeton","NJ","08544-0070",34,"1 Nassau Hall, Princeton, NJ",NA,NA
"principia.edu",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"providence.edu",217402,"Providence College","1 Cunningham Square","Providence","RI","02918-0001",44,"1 Cunningham Square, Providence, RI",41.8442938,-71.435488625231
"pfw.edu",151102,"Purdue University Fort Wayne","2101 E Coliseum Blvd","Fort Wayne","IN","46805-1499",18,"2101 E Coliseum Blvd, Fort Wayne, IN",41.1165636,-85.1040508
"pnw.edu",490805,"Purdue University Northwest","2200 169th Street","Hammond","IN","46323",18,"2200 169th Street, Hammond, IN",41.58135085,-87.4746009829215
"queensu.ca",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"queens.edu",199412,"Queens University of Charlotte","1900 Selwyn Ave","Charlotte","NC","28274-0001",37,"1900 Selwyn Ave, Charlotte, NC",35.18877165,-80.8333217034346
"questu.ca",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"quincy.edu",148131,"Quincy University","1800 College Ave","Quincy","IL","62301-2699",17,"1800 College Ave, Quincy, IL",39.939168,-91.386969
"qu.edu",130226,"Quinnipiac University","275 Mt Carmel Ave","Hamden","CT","06518",9,"275 Mt Carmel Ave, Hamden, CT",41.41860035,-72.8936469897469
"radford.edu",233277,"Radford University","801 East Main St.","Radford","VA","24142",51,"801 East Main St., Radford, VA",37.13702415,-80.549961235616
"ramapo.edu",186201,"Ramapo College of New Jersey","505 Ramapo Valley Rd","Mahwah","NJ","07430-1680",34,"505 Ramapo Valley Rd, Mahwah, NJ",41.08224455,-74.1738235180645
"randolphcollege.edu",233301,"Randolph College","2500 Rivermont Ave","Lynchburg","VA","24503-1555",51,"2500 Rivermont Ave, Lynchburg, VA",37.436818,-79.173526
"rmc.edu",233295,"Randolph-Macon College","204 Henry St","Ashland","VA","23005-5505",51,"204 Henry St, Ashland, VA",37.760824,-77.4781526821573
"reed.edu",209922,"Reed College","3203 SE Woodstock Blvd","Portland","OR","97202-8199",41,"3203 SE Woodstock Blvd, Portland, OR",45.48149925,-122.631013607535
"regent.edu",231651,"Regent University","1000 Regent University Dr","Virginia Beach","VA","23464",51,"1000 Regent University Dr, Virginia Beach, VA",36.79932065,-76.1944004677219
"regents.ac.uk",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"regiscollege.edu",167598,"Regis College","235 Wellesley St","Weston","MA","02493-1571",25,"235 Wellesley St, Weston, MA",42.3506516,-71.3085244299888
